3-gram-most,1000,73.560000
3-gram-most,2000,76.520000
3-gram-most,3000,77.700000
3-gram-most,4000,78.020000
3-gram-most,5000,78.140000
3-gram-most,6000,78.160000
3-gram-most,7000,78.200000
3-gram-most,8000,78.300000
3-gram-most,9000,78.360000
3-gram-most,10000,78.360000
4-gram-most,1000,71.780000
4-gram-most,2000,76.220000
4-gram-most,3000,77.700000
4-gram-most,4000,78.500000
4-gram-most,5000,78.840000
4-gram-most,6000,79.220000
4-gram-most,7000,79.420000
4-gram-most,8000,79.900000
4-gram-most,9000,79.900000
4-gram-most,10000,79.900000
3-gram-chi,1000,67.400000
3-gram-chi,2000,72.080000
3-gram-chi,3000,74.680000
3-gram-chi,4000,76.300000
3-gram-chi,5000,77.440000
3-gram-chi,6000,77.860000
3-gram-chi,7000,78.220000
3-gram-chi,8000,78.280000
3-gram-chi,9000,78.440000
3-gram-chi,10000,78.460000
4-gram-chi,1000,63.600000
4-gram-chi,2000,70.020000
4-gram-chi,3000,72.500000
4-gram-chi,4000,74.400000
4-gram-chi,5000,75.320000
4-gram-chi,6000,76.420000
4-gram-chi,7000,76.880000
4-gram-chi,8000,77.160000
4-gram-chi,9000,77.500000
4-gram-chi,10000,78.420000
1_5-gram-most-False,1000,72.700000
1_5-gram-most-False,2000,76.660000
1_5-gram-most-False,3000,78.280000
1_5-gram-most-False,4000,78.220000
1_5-gram-most-False,5000,78.460000
1_5-gram-most-False,6000,79.020000
1_5-gram-most-False,7000,79.460000
1_5-gram-most-False,8000,79.460000
1_5-gram-most-False,9000,79.560000
1_5-gram-most-False,10000,79.700000
1_5-gram-chi-False,1000,58.500000
1_5-gram-chi-False,2000,64.640000
1_5-gram-chi-False,3000,68.700000
1_5-gram-chi-False,4000,70.520000
1_5-gram-chi-False,5000,71.780000
1_5-gram-chi-False,6000,73.180000
1_5-gram-chi-False,7000,74.160000
1_5-gram-chi-False,8000,74.760000
1_5-gram-chi-False,9000,76.080000
1_5-gram-chi-False,10000,76.380000
1_5-gram-l2-most-False,1000,74.780000
1_5-gram-l2-most-False,2000,77.880000
1_5-gram-l2-most-False,3000,79.080000
1_5-gram-l2-most-False,4000,79.460000
1_5-gram-l2-most-False,5000,79.660000
1_5-gram-l2-most-False,6000,80.020000
1_5-gram-l2-most-False,7000,80.580000
1_5-gram-l2-most-False,8000,80.740000
1_5-gram-l2-most-False,9000,80.800000
1_5-gram-l2-most-False,10000,80.780000
1_5-gram-l2-chi-False,1000,59.620000
1_5-gram-l2-chi-False,2000,65.820000
1_5-gram-l2-chi-False,3000,69.280000
1_5-gram-l2-chi-False,4000,71.480000
1_5-gram-l2-chi-False,5000,72.500000
1_5-gram-l2-chi-False,6000,74.380000
1_5-gram-l2-chi-False,7000,75.980000
1_5-gram-l2-chi-False,8000,76.560000
1_5-gram-l2-chi-False,9000,77.080000
1_5-gram-l2-chi-False,10000,77.740000
1_5-gram-minmax-most-False,1000,72.160000
1_5-gram-minmax-most-False,2000,76.280000
1_5-gram-minmax-most-False,3000,78.840000
1_5-gram-minmax-most-False,4000,78.900000
1_5-gram-minmax-most-False,5000,79.300000
1_5-gram-minmax-most-False,6000,80.440000
1_5-gram-minmax-most-False,7000,81.080000
1_5-gram-minmax-most-False,8000,81.340000
1_5-gram-minmax-most-False,9000,81.480000
1_5-gram-minmax-most-False,10000,81.940000
1_5-gram-minmax-chi-False,1000,58.000000
1_5-gram-minmax-chi-False,2000,66.080000
1_5-gram-minmax-chi-False,3000,70.440000
1_5-gram-minmax-chi-False,4000,72.500000
1_5-gram-minmax-chi-False,5000,74.780000
1_5-gram-minmax-chi-False,6000,76.980000
1_5-gram-minmax-chi-False,7000,78.280000
1_5-gram-minmax-chi-False,8000,79.560000
1_5-gram-minmax-chi-False,9000,80.540000
1_5-gram-minmax-chi-False,10000,81.160000
1_5-gram-most-True,1000,72.380000
1_5-gram-most-True,2000,76.920000
1_5-gram-most-True,3000,78.180000
1_5-gram-most-True,4000,77.940000
1_5-gram-most-True,5000,78.600000
1_5-gram-most-True,6000,79.180000
1_5-gram-most-True,7000,79.320000
1_5-gram-most-True,8000,79.260000
1_5-gram-most-True,9000,79.460000
1_5-gram-most-True,10000,79.660000
1_5-gram-chi-True,1000,57.980000
1_5-gram-chi-True,2000,64.540000
1_5-gram-chi-True,3000,69.020000
1_5-gram-chi-True,4000,70.780000
1_5-gram-chi-True,5000,72.240000
1_5-gram-chi-True,6000,74.240000
1_5-gram-chi-True,7000,75.060000
1_5-gram-chi-True,8000,75.940000
1_5-gram-chi-True,9000,76.500000
1_5-gram-chi-True,10000,77.340000
1_5-gram-l2-most-True,1000,75.540000
1_5-gram-l2-most-True,2000,77.880000
1_5-gram-l2-most-True,3000,78.960000
1_5-gram-l2-most-True,4000,79.200000
1_5-gram-l2-most-True,5000,79.660000
1_5-gram-l2-most-True,6000,80.340000
1_5-gram-l2-most-True,7000,80.640000
1_5-gram-l2-most-True,8000,80.760000
1_5-gram-l2-most-True,9000,80.820000
1_5-gram-l2-most-True,10000,80.840000
1_5-gram-l2-chi-True,1000,60.240000
1_5-gram-l2-chi-True,2000,66.340000
1_5-gram-l2-chi-True,3000,69.560000
